#,1. Linux Administration,Status,2. Basic Python Development,Status,3. Git & Source Control,Status,4. Cloud Infrastructure (AWS),Status,5. IaaC Terraform,Status,6. IaaC Ansible,Status,7. Docker & Containerisation,Status,8. Kubernetes Core,Status,9. Kubernetes Advanced & Service Mesh,Status,10. CI/CD & GitOps,Status,11. Observability & Continuous Monitoring,Status,12. Security & DevSecOps,Status,13. SRE & Reliability,Status,14. MLOps,Status,15. GenAI, LLMs & AIOps,Status,16. Leadership & Architecture,Status,17. Stakeholder & FinOps,Status
2,System boot, kernel tuning, systemd,—,Python syntax, typing, OOP,—,Git internals, commit graph,—,AWS global infra, IAM basics,—,Terraform workflow lifecycle,—,Inventory mgmt,—,OCI image structure,—,Pods, deployments,—,Helm templating deep dive,—,CI pipeline design,—,Metrics vs logs vs traces,—,Threat modeling basics,—,SLI/SLO concepts,—,ML lifecycle overview,—,LLM fundamentals,—,System design basics,—,Cost allocation basics,—
3,Filesystem internals (ext4,xfs),—,Virtualenv/poetry,—,Branching strategies,—,VPC design patterns,—,Modules & composition,—,Roles & collections,—,Multi-stage builds,—,Services & networking,—,Operators framework,—,GitHub Actions advanced,—,Prometheus architecture,—,OWASP Top10,—,Error budgets,—,Feature stores,—,Prompt engineering,—,Tradeoff analysis,—,Cloud pricing models,—
4,Process mgmt & scheduling,—,Asyncio & concurrency,—,Rebase/merge internals,—,EC2 deep dive,—,Remote state mgmt,—,Idempotency patterns,—,BuildKit caching,—,ConfigMaps & secrets,—,Service mesh concepts,—,GitLab CI pipelines,—,Grafana dashboards,—,Secure SDLC,—,Incident lifecycle,—,Model versioning,—,Vector databases,—,Architecture patterns,—,Reserved vs Spot,—
5,Networking stack (iptables,nftables),—,Packaging & wheels,—,Git hooks & automation,—,ALB/NLB design,—,State locking,—,Playbook design,—,Image scanning,—,Storage classes,—,Service mesh concepts,—,ArgoCD workflows,—,OpenTelemetry,—,SAST/DAST,—,Postmortems,—,ML pipelines CI,—,RAG pipelines,—,Platform engineering,—,FinOps dashboards,—
6,User/group & PAM,—,CLI tooling (argparse,click),—,Monorepo strategies,—,AutoScaling & scaling policies,—,Workspaces,—,Secrets mgmt (vault),—,Runtime security basics,—,Namespaces & quotas,—,Linkerd & Kuma,—,Jenkins pipeline as code,—,Log aggregation (Loki),—,Container security,—,Capacity planning,—,Experiment tracking,—,AI agents infra,—,Golden paths,—,Budget alerts,—
7,SSH hardening,—,REST API dev (FastAPI),—,Signed commits,—,RDS deep dive,—,for_each/count patterns,—,Dynamic inventories,—,cgroups & namespaces,—,RBAC,—,Gateway API,—,Tekton pipelines,—,Alertmanager design,—,IAM least privilege,—,Chaos engineering,—,Data versioning,—,Inference optimization,—,Infra blueprints,—,Unit economics,—
8,Performance tuning (CPU,IO),—,Testing (pytest),—,Submodules/subtrees,—,S3 architecture,—,Policy as code,—,Handler/notify flows,—,Overlay networks,—,Ingress controllers,—,Canary & blue-green mesh,—,GitOps design,—,Distributed tracing,—,Secrets rotation,—,High availability,—,Model monitoring,—,AI observability,—,Tech roadmap,—,Cost anomaly detection,—
9,Log mgmt & journald,—,Logging & struct logs,—,Sparse checkout,—,CloudWatch deep dive,—,Terraform testing,—,Async execution,—,Rootless containers,—,HPA/VPA,—,Multi-cluster mesh,—,Pipeline security,—,eBPF observability,—,Zero trust,—,Load shedding,—,Drift detection,—,LLMOps pipelines,—,Risk mgmt,—,Showback/chargeback,—
10,Backup & restore,—,Data parsing (JSON/YAML),—,Git LFS,—,SNS/SQS/EventBridge,—,Drift detection,—,Custom modules,—,Container storage,—,Probes,—,SPIFFE/SPIRE,—,Release orchestration,—,Synthetic monitoring,—,SBOMs,—,Disaster recovery,—,CI for ML models,—,Safety guardrails,—,Mentorship,—,Vendor evaluation,—
11,Shell scripting,—,Subprocess mgmt,—,Repo permissions,—,Lambda serverless,—,Private registries,—,Vault integration,—,Build reproducibility,—,Jobs/CronJobs,—,Envoy filters,—,Artifact mgmt,—,Real user monitoring,—,Supply chain security,—,GameDays,—,Kubeflow,—,Fine-tuning infra,—,Decision docs,—,Forecasting spend,—
12,Kernel modules basics,—,Multithreading,—,Code owners,—,EKS deep dive,—,Terraform CD,—,AWX/Tower,—,Docker networking,—,DaemonSets,—,Mesh observability,—,Monorepo CI scaling,—,Cost observability,—,Runtime detection,—,Autoscaling strategies,—,ML serving infra,—,Model gateways,—,Cross-team alignment,—,Contract negotiation,—
13,Disk & LVM mgmt,—,Env config mgmt,—,Release tagging,—,IAM federation,—,Terragrunt,—,Immutable infra config,—,Seccomp/AppArmor,—,StatefulSets,—,Service mesh security,—,Ephemeral runners,—,K8s monitoring,—,Secrets mgmt platforms,—,Latency mgmt,—,Feature pipelines,—,Prompt ops,—,Hiring & onboarding,—,License optimization,—
14,DNS & resolvers,—,Caching strategies,—,GitOps repos,—,Route53,—,OpenTofu awareness,—,Config drift control,—,Registry proxies,—,Network policies,—,Multi-tenancy mesh,—,Deployment strategies,—,Event monitoring,—,Compliance automation,—,Queue reliability,—,Data drift detection,—,AI infra governance,—,Platform maturity,—,Internal billing,—
15,SELinux/AppArmor,—,Profiling (cProfile),—,Binary repos,—,CloudFront CDN,—,Terraform graph,—,Testing playbooks,—,SBOM gen tools,—,Pod security,—,WASM in mesh,—,Preview envs,—,Logs sampling,—,Policy engines (OPA),—,Caching layers,—,Model rollback,—,LLM eval frameworks,—,Conflict resolution,—,Capacity vs cost,—
16,Container-optimized OS,—,Message queues,—,Git audit trails,—,PrivateLink,—,Provider dev basics,—,Parallel runs,—,Distroless images,—,Kustomize,—,Mesh failover,—,Pipeline observability,—,Alert fatigue mgmt,—,KMS/HSM,—,Thundering herd mitigation,—,Batch pipelines,—,AI cost mgmt,—,Architecture reviews,—,Savings plans,—
17,Troubleshooting deep dive,—,Webhooks & automation,—,Large repo perf,—,Hybrid cloud arch,—,Terraform Cloud/Enterprise,—,Event-driven Ansible,—,Debugging containers,—,API server internals,—,Global traffic mesh,—,Compliance pipelines,—,Telemetry pipelines,—,Secure secrets delivery,—,Dependency mgmt,—,Online learning,—,Inference autoscaling,—,Strategy planning,—,Executive reporting,—
18,Networking perf tools,—,Schema validation,—,Git maintenance,—,Disaster recovery arch,—,Drift remediation,—,Golden images,—,Container benchmarks,—,Scheduler internals,—,Mesh upgrades,—,Platform CI templates,—,Observability SLIs,—,DevSecOps metrics,—,Runbooks,—,ML infra security,—,AI copilots infra,—,Org design,—,Cloud governance,—
19,Resource isolation,—,Parallel processing,—,Repo governance,—,Landing zones,—,Testing frameworks,—,Cross-platform roles,—,GPU containers,—,Controller patterns,—,Edge mesh,—,Release trains,—,Anomaly detection,—,Incident forensics,—,Resilience testing,—,Data labeling infra,—,LLM caching layers,—,Technical vision,—,FinOps maturity model,—
20,Production debugging,—,API integrations,—,Migration strategies,—,Multi-account strategy,—,Infra promotion flows,—,Policy enforcement,—,Container supply chain,—,Upgrade strategies,—,Mesh SLO mgmt,—,Change mgmt automation,—,Capacity dashboards,—,Breach response,—,Reliability reviews,—,Model explainability infra,—,Multi-model orchestration,—,Principal engineer skills,—,ROI tracking,—
21,Automation frameworks,—,SDK usage,—,Git scalability,—,Platform engineering AWS,—,IaC governance,—,Self-healing automation,—,Serverless containers,—,Cluster lifecycle,—,Mesh policy mgmt,—,Internal developer platforms,—,Telemetry governance,—,Security champions prog,—,Continuous verification,—,ML metadata stores,—,Autonomous ops (AIOps),—,Org scaling models,—,Cost culture adoption,—
