Linux Administration
| Topic | Topic Area                               | Subtopics to Cover                                                                                                 | Why It Matters in Interviews                                            |
| ---- | ---------------------------------------- | ------------------------------------------------------------------------------------------------------------------ | ----------------------------------------------------------------------- |
| 1    | Linux Architecture & Boot Process        | Kernel vs User Space, system architecture, BIOS vs UEFI, GRUB, systemd boot sequence, initramfs, runlevels/targets | Senior interviews often start with fundamentals + debugging boot issues |
| 2    | Filesystem Hierarchy & Storage Basics    | FHS structure, inode concepts, file types, mount points, ext4/xfs basics, df/du/lsblk/findmnt                      | Needed for troubleshooting disk and system issues                       |
| 3    | Users, Groups & Permissions              | chmod/chown/chgrp, umask, ACLs, sudoers, PAM basics, privilege escalation concepts                                 | Common real-world operational questions                                 |
| 4    | Process & Service Management             | ps/top/htop, nice/renice, kill signals, background jobs, systemctl, journald logs                                  | Used heavily in production debugging scenarios                          |
| 5    | Package & Repository Management          | apt/yum/dnf/zypper, repo configuration, package signing, version locking, offline install                          | Real-world infra maintenance and automation                             |
| 6    | Networking Fundamentals                  | IP addressing, routing tables, netstat/ss, tcpdump basics, DNS resolution flow, firewall concepts                  | Core for troubleshooting microservices & infra failures                 |
| 7    | Disk Management & Filesystems (Advanced) | LVM, RAID basics, fstab, swap, quotas, iostat, filesystem repair (fsck), resizing volumes                          | Common scenario-based interview problems                                |
| 8    | Log Management & Troubleshooting         | journalctl, /var/log structure, logrotate, system logs vs application logs, debugging service failures             | Senior roles demand structured troubleshooting approach                 |
| 9    | Performance Monitoring & Optimization    | CPU/memory/io metrics, vmstat/iostat/free/sar, load average, bottleneck identification                             | Performance scenarios are frequent at senior level                      |
| 10   | Security Hardening                       | SSH hardening, SELinux/AppArmor basics, file integrity, auditing, fail2ban, patching strategies                    | Expected knowledge for production ownership                             |
| 11   | Scheduling & Automation                  | cron/at/systemd timers, scripting automation, log cleanup jobs, backups                                            | Shows operational maturity                                              |
| 12   | Shell Scripting & CLI Mastery            | bash scripting, pipelines, awk/sed/grep, environment variables, debugging scripts                                  | Senior DevOps interviews expect strong CLI fluency                      |
| 13   | System Resource Control                  | cgroups basics, ulimit, process limits, namespace overview                                                         | Increasingly asked due to containerization overlap                      |
| 14   | Kernel & System Tuning                   | sysctl tuning, kernel modules, hugepages basics, networking tuning                                                 | Relevant for high-scale systems discussions                             |
| 15   | Networking Deep Dive                     | bonding, VLANs, NAT, iptables/nftables, conntrack, advanced tcpdump usage                                          | Strong differentiator in senior interviews                              |
